Date,Predicted Sales
2019-05-01,58.45721171319836
2019-05-02,58.42178983462559
2019-05-03,58.386367956052815
2019-05-04,58.350946077480046
2019-05-05,58.31552419890728
2019-05-06,58.28010232033451
2019-05-07,58.24468044176174
2019-05-08,58.20925856318897
2019-05-09,58.17383668461619
2019-05-10,58.13841480604343
2019-05-11,58.10299292747065
2019-05-12,58.06757104889788
2019-05-13,58.03214917032511
2019-05-14,57.99672729175234
2019-05-15,57.96130541317957
2019-05-16,57.9258835346068
2019-05-17,57.890461656034034
2019-05-18,57.85503977746127
2019-05-19,57.819617898888495
2019-05-20,57.78419602031572
2019-05-21,57.74877414174295
2019-05-22,57.71335226317018
2019-05-23,57.67793038459741
2019-05-24,57.64250850602464
2019-05-25,57.60708662745187
2019-05-26,57.5716647488791
2019-05-27,57.53624287030633
2019-05-28,57.50082099173356
2019-05-29,57.46539911316079
2019-05-30,57.42997723458802
